State/Province,merged_clade,collection_date
South Dakota,delta2-2002,2009
Missouri,delta2-2002,2009
Illinois,cluster_iv-2002,2009
Illinois,cluster_iv-2002,2009
Illinois,cluster_iv-2002,2009
Illinois,cluster_iv-2002,2009
North Carolina,delta1b-02A,2009
South Dakota,delta1a-02A,2009
Minnesota,delta2-2002,2009
Minnesota,cluster_ive-02B,2009
Arkansas,delta2-2002,2009
Indiana,delta2-2002,2009
North Carolina,unknown-1998,2009
Kansas,delta1b-02A,2009
North Carolina,delta2-98B,2009
Minnesota,delta1a-02A,2009
North Carolina,pdmh1-2002,2010
Iowa,delta-like-2002,2010
North Carolina,delta2-98B,2010
North Carolina,delta2-98B,2010
Iowa,delta2-02B,2010
Minnesota,delta1b-02A,2010
Indiana,cluster_iv-02B,2010
Minnesota,cluster_ivb-02B,2010
North Carolina,delta2-98B,2010
North Carolina,delta2-98B,2010
Indiana,beta-1998,2010
Minnesota,cluster_ivb-02B,2010
Minnesota,delta1b-02A,2010
Minnesota,delta1b-02A,2010
Oklahoma,cluster_iv-02A,2010
North Carolina,cluster_iv-02B,2010
North Carolina,delta2-98B,2010
North Carolina,delta2-98B,2010
Kansas,cluster_iv-02B,2010
Minnesota,delta1a-02A,2010
North Carolina,cluster_iv-2002,2010
North Carolina,delta2-98B,2010
Minnesota,delta1b-02A,2010
Texas,cluster_iv-02A,2010
North Carolina,delta2-98B,2010
North Carolina,delta2-98B,2010
Illinois,cluster_iv-2002,2010
Illinois,cluster_iv-2002,2010
Illinois,cluster_iv-2002,2010
Minnesota,pdmh1-02A,2010
Minnesota,delta1a-02A,2010
Missouri,delta2-2002,2010
Minnesota,delta1b-02A,2010
Minnesota,delta1a-02A,2010
Minnesota,delta1a-02A,2010
Iowa,cluster_iv-2002,2010
North Carolina,pdmh1-2002,2010
Illinois,cluster_iv-2002,2010
North Carolina,cluster_iv-2002,2010
Texas,cluster_iv-98A,2010
North Carolina,cluster_iv-2002,2010
Illinois,delta1b-02A,2010
Indiana,pdmh1-02A,2010
Oklahoma,delta1b-02A,2010
Minnesota,delta1b-02A,2010
Minnesota,delta1b-02A,2010
Minnesota,cluster_ivb-2002,2010
Iowa,gamma-02A,2010
Iowa,delta1b-02A,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Ohio,cluster_iva-2002,2010
Pennsylvania,cluster_iv-2002,2010
Illinois,delta1b-02A,2010
Illinois,delta1b-02A,2010
Illinois,delta1b-02A,2010
Minnesota,delta1b-02A,2010
North Carolina,delta2-98B,2010
North Carolina,delta2-98B,2010
North Carolina,delta2-98B,2010
Iowa,cluster_iv-2002,2010
Iowa,cluster_iv-2002,2010
Minnesota,delta1b-02A,2010
Pennsylvania,cluster_iv-2002,2010
Pennsylvania,cluster_iv-2002,2010
Pennsylvania,cluster_iv-2002,2010
Minnesota,cluster_iva-2002,2010
Minnesota,delta1b-02A,2010
North Carolina,cluster_iv-2002,2010
Minnesota,delta1b-02A,2010
Minnesota,delta1b-02A,2010
Minnesota,delta1b-02A,2010
